#    L    TT             EE             BB             TE          
     2   0.101265E+04   0.345892E-01   0.186488E-05   0.283832E+01
     3   0.962909E+03   0.493191E-01   0.373046E-05   0.330437E+01
     4   0.913214E+03   0.481761E-01   0.621899E-05   0.320965E+01
     5   0.875792E+03   0.368078E-01   0.933137E-05   0.283130E+01
     6   0.848256E+03   0.234138E-01   0.130687E-04   0.235864E+01
     7   0.830200E+03   0.132694E-01   0.174323E-04   0.190474E+01
     8   0.820514E+03   0.763726E-02   0.224237E-04   0.152428E+01
     9   0.815344E+03   0.528472E-02   0.280444E-04   0.124033E+01
    10   0.814370E+03   0.444036E-02   0.342962E-04   0.105241E+01
    11   0.815620E+03   0.395770E-02   0.411809E-04   0.947034E+00
    12   0.819390E+03   0.359037E-02   0.487005E-04   0.911810E+00
    13   0.825332E+03   0.311202E-02   0.568570E-04   0.927762E+00
    14   0.833517E+03   0.293102E-02   0.656523E-04   0.973635E+00
    15   0.842583E+03   0.301665E-02   0.750885E-04   0.103415E+01
    16   0.851314E+03   0.322227E-02   0.851675E-04   0.109807E+01
    17   0.860817E+03   0.359704E-02   0.958914E-04   0.116124E+01
    18   0.871641E+03   0.405329E-02   0.107262E-03   0.122334E+01
    19   0.884532E+03   0.460872E-02   0.119281E-03   0.128564E+01
    20   0.897405E+03   0.534619E-02   0.131950E-03   0.134704E+01
    21   0.910460E+03   0.623655E-02   0.145271E-03   0.140954E+01
    22   0.923913E+03   0.730639E-02   0.159246E-03   0.147432E+01
    23   0.937602E+03   0.855785E-02   0.173875E-03   0.154088E+01
    24   0.951640E+03   0.995774E-02   0.189160E-03   0.160814E+01
    25   0.966028E+03   0.115272E-01   0.205102E-03   0.167411E+01
    26   0.980618E+03   0.132598E-01   0.221702E-03   0.173795E+01
    27   0.995590E+03   0.151486E-01   0.238960E-03   0.179688E+01
    28   0.101074E+04   0.172111E-01   0.256878E-03   0.184916E+01
    29   0.102620E+04   0.194500E-01   0.275456E-03   0.189392E+01
    30   0.104193E+04   0.218750E-01   0.294693E-03   0.192946E+01
    31   0.105774E+04   0.244994E-01   0.314592E-03   0.195620E+01
    32   0.107380E+04   0.273275E-01   0.335151E-03   0.197479E+01
    33   0.109012E+04   0.303703E-01   0.356371E-03   0.198468E+01
    34   0.110660E+04   0.336476E-01   0.378253E-03   0.198596E+01
    35   0.112330E+04   0.371578E-01   0.400795E-03   0.197945E+01
    36   0.114022E+04   0.409028E-01   0.423998E-03   0.196486E+01
    37   0.115720E+04   0.448861E-01   0.447863E-03   0.194072E+01
    38   0.117439E+04   0.491174E-01   0.472388E-03   0.190727E+01
    39   0.119181E+04   0.536012E-01   0.497575E-03   0.186391E+01
    40   0.120933E+04   0.583463E-01   0.523422E-03   0.180964E+01
    41   0.122712E+04   0.633653E-01   0.549931E-03   0.174343E+01
    42   0.124497E+04   0.686656E-01   0.577101E-03   0.166487E+01
    43   0.126301E+04   0.742535E-01   0.604932E-03   0.157373E+01
    44   0.128105E+04   0.801202E-01   0.633424E-03   0.147067E+01
    45   0.129946E+04   0.862673E-01   0.662578E-03   0.135643E+01
    46   0.131815E+04   0.926981E-01   0.692393E-03   0.122970E+01
    47   0.133695E+04   0.994096E-01   0.722871E-03   0.109085E+01
    48   0.135581E+04   0.106404E+00   0.754011E-03   0.943319E+00
    49   0.137480E+04   0.113660E+00   0.785813E-03   0.789956E+00
    50   0.139416E+04   0.121152E+00   0.818279E-03   0.626831E+00
    51   0.141365E+04   0.128848E+00   0.851408E-03   0.448809E+00
    52   0.143351E+04   0.136838E+00   0.885201E-03   0.251579E+00
    53   0.145336E+04   0.145273E+00   0.919658E-03   0.328865E-01
    54   0.147313E+04   0.154149E+00   0.954779E-03  -0.201555E+00
    55   0.149302E+04   0.163449E+00   0.990565E-03  -0.445917E+00
    56   0.151327E+04   0.173030E+00   0.102702E-02  -0.700831E+00
    57   0.153381E+04   0.182779E+00   0.106413E-02  -0.966477E+00
    58   0.155464E+04   0.192697E+00   0.110191E-02  -0.124415E+01
    59   0.157561E+04   0.202815E+00   0.114036E-02  -0.153517E+01
    60   0.159673E+04   0.213178E+00   0.117947E-02  -0.183943E+01
    61   0.161831E+04   0.223874E+00   0.121925E-02  -0.215652E+01
    62   0.163977E+04   0.234900E+00   0.125969E-02  -0.248728E+01
    63   0.166135E+04   0.246225E+00   0.130079E-02  -0.283249E+01
    64   0.168336E+04   0.257874E+00   0.134256E-02  -0.319315E+01
    65   0.170546E+04   0.269833E+00   0.138499E-02  -0.356967E+01
    66   0.172795E+04   0.282041E+00   0.142809E-02  -0.396005E+01
    67   0.175063E+04   0.294490E+00   0.147185E-02  -0.436175E+01
    68   0.177377E+04   0.307209E+00   0.151626E-02  -0.477340E+01
    69   0.179708E+04   0.320143E+00   0.156134E-02  -0.519355E+01
    70   0.182067E+04   0.333319E+00   0.160708E-02  -0.562416E+01
    71   0.184435E+04   0.346717E+00   0.165348E-02  -0.606780E+01
    72   0.186815E+04   0.360312E+00   0.170054E-02  -0.652550E+01
    73   0.189205E+04   0.374077E+00   0.174826E-02  -0.699742E+01
    74   0.191610E+04   0.388005E+00   0.179663E-02  -0.748221E+01
    75   0.194042E+04   0.402113E+00   0.184566E-02  -0.797795E+01
    76   0.196498E+04   0.416407E+00   0.189535E-02  -0.848365E+01
    77   0.198983E+04   0.430878E+00   0.194570E-02  -0.899917E+01
    78   0.201501E+04   0.445552E+00   0.199671E-02  -0.952606E+01
    79   0.204037E+04   0.460371E+00   0.204837E-02  -0.100607E+02
    80   0.206601E+04   0.475341E+00   0.210069E-02  -0.106046E+02
    81   0.209184E+04   0.490408E+00   0.215367E-02  -0.111584E+02
    82   0.211794E+04   0.505592E+00   0.220731E-02  -0.117214E+02
    83   0.214423E+04   0.520865E+00   0.226162E-02  -0.122933E+02
    84   0.217080E+04   0.536222E+00   0.231659E-02  -0.128726E+02
    85   0.219751E+04   0.551635E+00   0.237222E-02  -0.134606E+02
    86   0.222443E+04   0.567114E+00   0.242853E-02  -0.140562E+02
    87   0.225180E+04   0.582629E+00   0.248550E-02  -0.146587E+02
    88   0.227916E+04   0.598195E+00   0.254315E-02  -0.152679E+02
    89   0.230689E+04   0.613798E+00   0.260148E-02  -0.158850E+02
    90   0.233484E+04   0.629401E+00   0.266049E-02  -0.165071E+02
    91   0.236294E+04   0.644997E+00   0.272019E-02  -0.171347E+02
    92   0.239134E+04   0.660571E+00   0.278058E-02  -0.177670E+02
    93   0.242005E+04   0.676115E+00   0.284166E-02  -0.184041E+02
    94   0.244882E+04   0.691592E+00   0.290345E-02  -0.190445E+02
    95   0.247790E+04   0.707002E+00   0.296594E-02  -0.196889E+02
    96   0.250698E+04   0.722328E+00   0.302913E-02  -0.203367E+02
    97   0.253650E+04   0.737555E+00   0.309305E-02  -0.209871E+02
    98   0.256624E+04   0.752677E+00   0.315768E-02  -0.216379E+02
    99   0.259607E+04   0.767654E+00   0.322304E-02  -0.222921E+02
   100   0.262618E+04   0.782487E+00   0.328913E-02  -0.229452E+02
   101   0.265645E+04   0.797235E+00   0.335596E-02  -0.236002E+02
   102   0.268723E+04   0.811749E+00   0.342354E-02  -0.242549E+02
   103   0.271795E+04   0.826102E+00   0.349186E-02  -0.249101E+02
   104   0.274888E+04   0.840295E+00   0.356093E-02  -0.255628E+02
   105   0.277996E+04   0.854252E+00   0.363077E-02  -0.262145E+02
   106   0.281126E+04   0.868048E+00   0.370137E-02  -0.268644E+02
   107   0.284248E+04   0.881533E+00   0.377275E-02  -0.275112E+02
   108   0.287407E+04   0.894782E+00   0.384490E-02  -0.281556E+02
   109   0.290581E+04   0.907719E+00   0.391783E-02  -0.287961E+02
   110   0.293763E+04   0.920344E+00   0.399155E-02  -0.294312E+02
   111   0.296958E+04   0.932732E+00   0.406606E-02  -0.300624E+02
   112   0.300168E+04   0.944808E+00   0.414137E-02  -0.306890E+02
   113   0.303401E+04   0.956571E+00   0.421749E-02  -0.313094E+02
   114   0.306640E+04   0.967948E+00   0.429441E-02  -0.319228E+02
   115   0.309902E+04   0.979087E+00   0.437214E-02  -0.325294E+02
   116   0.313163E+04   0.989765E+00   0.445069E-02  -0.331281E+02
   117   0.316454E+04   0.100006E+01   0.453007E-02  -0.337184E+02
   118   0.319760E+04   0.101011E+01   0.461028E-02  -0.343009E+02
   119   0.323066E+04   0.101978E+01   0.469131E-02  -0.348733E+02
   120   0.326386E+04   0.102891E+01   0.477319E-02  -0.354356E+02
   121   0.329707E+04   0.103781E+01   0.485591E-02  -0.359877E+02
   122   0.333035E+04   0.104616E+01   0.493948E-02  -0.365290E+02
   123   0.336370E+04   0.105406E+01   0.502391E-02  -0.370594E+02
   124   0.339712E+04   0.106158E+01   0.510920E-02  -0.375758E+02
   125   0.343055E+04   0.106863E+01   0.519535E-02  -0.380805E+02
   126   0.346405E+04   0.107529E+01   0.528238E-02  -0.385727E+02
   127   0.349756E+04   0.108142E+01   0.537029E-02  -0.390516E+02
   128   0.353106E+04   0.108716E+01   0.545908E-02  -0.395165E+02
   129   0.356464E+04   0.109237E+01   0.554877E-02  -0.399665E+02
   130   0.359823E+04   0.109705E+01   0.563935E-02  -0.404010E+02
   131   0.363181E+04   0.110133E+01   0.573084E-02  -0.408213E+02
   132   0.366547E+04   0.110509E+01   0.582325E-02  -0.412245E+02
   133   0.369906E+04   0.110838E+01   0.591657E-02  -0.416129E+02
   134   0.373265E+04   0.111121E+01   0.601083E-02  -0.419821E+02
   135   0.376624E+04   0.111351E+01   0.610602E-02  -0.423349E+02
   136   0.379968E+04   0.111528E+01   0.620215E-02  -0.426678E+02
   137   0.383313E+04   0.111660E+01   0.629923E-02  -0.429830E+02
   138   0.386650E+04   0.111738E+01   0.639727E-02  -0.432790E+02
   139   0.389964E+04   0.111778E+01   0.649627E-02  -0.435552E+02
   140   0.393287E+04   0.111757E+01   0.659625E-02  -0.438122E+02
   141   0.396587E+04   0.111684E+01   0.669721E-02  -0.440479E+02
   142   0.399887E+04   0.111565E+01   0.679915E-02  -0.442631E+02
   143   0.403180E+04   0.111401E+01   0.690209E-02  -0.444577E+02
   144   0.406450E+04   0.111184E+01   0.700602E-02  -0.446311E+02
   145   0.409706E+04   0.110929E+01   0.711096E-02  -0.447825E+02
   146   0.412969E+04   0.110614E+01   0.721692E-02  -0.449120E+02
   147   0.416194E+04   0.110261E+01   0.732389E-02  -0.450181E+02
   148   0.419405E+04   0.109856E+01   0.743188E-02  -0.451023E+02
   149   0.422609E+04   0.109406E+01   0.754090E-02  -0.451632E+02
   150   0.425782E+04   0.108918E+01   0.765096E-02  -0.451986E+02
   151   0.428941E+04   0.108386E+01   0.776205E-02  -0.452113E+02
   152   0.432069E+04   0.107801E+01   0.787417E-02  -0.452001E+02
   153   0.435183E+04   0.107179E+01   0.798734E-02  -0.451625E+02
   154   0.438273E+04   0.106519E+01   0.810156E-02  -0.451010E+02
   155   0.441341E+04   0.105823E+01   0.821682E-02  -0.450146E+02
   156   0.444371E+04   0.105089E+01   0.833313E-02  -0.449034E+02
   157   0.447392E+04   0.104319E+01   0.845049E-02  -0.447660E+02
   158   0.450383E+04   0.103520E+01   0.856890E-02  -0.446030E+02
   159   0.453343E+04   0.102676E+01   0.868836E-02  -0.444145E+02
   160   0.456280E+04   0.101804E+01   0.880887E-02  -0.441989E+02
   161   0.459192E+04   0.100910E+01   0.893043E-02  -0.439577E+02
   162   0.462074E+04   0.999797E+00   0.905304E-02  -0.436910E+02
   163   0.464939E+04   0.990207E+00   0.917670E-02  -0.433973E+02
   164   0.467758E+04   0.980405E+00   0.930141E-02  -0.430780E+02
   165   0.470560E+04   0.970319E+00   0.942716E-02  -0.427308E+02
   166   0.473330E+04   0.960097E+00   0.955395E-02  -0.423574E+02
   167   0.476076E+04   0.949518E+00   0.968179E-02  -0.419584E+02
   168   0.478775E+04   0.938954E+00   0.981066E-02  -0.415316E+02
   169   0.481442E+04   0.928110E+00   0.994058E-02  -0.410769E+02
   170   0.484076E+04   0.917209E+00   0.100715E-01  -0.405960E+02
   171   0.486664E+04   0.906252E+00   0.102035E-01  -0.400864E+02
   172   0.489211E+04   0.895166E+00   0.103365E-01  -0.395498E+02
   173   0.491711E+04   0.883953E+00   0.104705E-01  -0.389861E+02
   174   0.494178E+04   0.872910E+00   0.106056E-01  -0.383953E+02
   175   0.496605E+04   0.861742E+00   0.107417E-01  -0.377767E+02
   176   0.498977E+04   0.850671E+00   0.108787E-01  -0.371303E+02
   177   0.501308E+04   0.839626E+00   0.110168E-01  -0.364575E+02
   178   0.503592E+04   0.828830E+00   0.111559E-01  -0.357570E+02
   179   0.505828E+04   0.817988E+00   0.112961E-01  -0.350288E+02
   180   0.508032E+04   0.807324E+00   0.114372E-01  -0.342743E+02
   181   0.510180E+04   0.796838E+00   0.115793E-01  -0.334937E+02
   182   0.512281E+04   0.786607E+00   0.117224E-01  -0.326855E+02
   183   0.514328E+04   0.776558E+00   0.118665E-01  -0.318513E+02
   184   0.516334E+04   0.766766E+00   0.120115E-01  -0.309902E+02
   185   0.518294E+04   0.757381E+00   0.121576E-01  -0.301046E+02
   186   0.520170E+04   0.748263E+00   0.123046E-01  -0.291916E+02
   187   0.522028E+04   0.739555E+00   0.124525E-01  -0.282526E+02
   188   0.523832E+04   0.731243E+00   0.126015E-01  -0.272893E+02
   189   0.525574E+04   0.723365E+00   0.127513E-01  -0.263001E+02
   190   0.527300E+04   0.715974E+00   0.129021E-01  -0.252873E+02
   191   0.528934E+04   0.709094E+00   0.130539E-01  -0.242479E+02
   192   0.530529E+04   0.702749E+00   0.132065E-01  -0.231844E+02
   193   0.532063E+04   0.696984E+00   0.133601E-01  -0.220981E+02
   194   0.533558E+04   0.691830E+00   0.135146E-01  -0.209868E+02
   195   0.534992E+04   0.687326E+00   0.136700E-01  -0.198530E+02
   196   0.536365E+04   0.683509E+00   0.138262E-01  -0.186957E+02
   197   0.537692E+04   0.680426E+00   0.139833E-01  -0.175167E+02
   198   0.538966E+04   0.678099E+00   0.141413E-01  -0.163151E+02
   199   0.540186E+04   0.676568E+00   0.143001E-01  -0.150917E+02
   200   0.541353E+04   0.675862E+00   0.144597E-01  -0.138474E+02
   201   0.542459E+04   0.676043E+00   0.146202E-01  -0.125813E+02
   202   0.543513E+04   0.677117E+00   0.147814E-01  -0.112951E+02
   203   0.544506E+04   0.679142E+00   0.149434E-01  -0.998802E+01
   204   0.545431E+04   0.682141E+00   0.151062E-01  -0.866302E+01
   205   0.546303E+04   0.686157E+00   0.152697E-01  -0.731793E+01
   206   0.547107E+04   0.691225E+00   0.154340E-01  -0.595402E+01
   207   0.547859E+04   0.697369E+00   0.155990E-01  -0.457178E+01
   208   0.548536E+04   0.704638E+00   0.157646E-01  -0.317175E+01
   209   0.549152E+04   0.713054E+00   0.159310E-01  -0.175432E+01
   210   0.549708E+04   0.722668E+00   0.160980E-01  -0.320405E+00
   211   0.550205E+04   0.733510E+00   0.162656E-01   0.112990E+01
   212   0.550626E+04   0.745607E+00   0.164339E-01   0.259564E+01
   213   0.550995E+04   0.759004E+00   0.166028E-01   0.407684E+01
   214   0.551297E+04   0.773693E+00   0.167722E-01   0.557226E+01
   215   0.551539E+04   0.789864E+00   0.169423E-01   0.708115E+01
   216   0.551713E+04   0.807332E+00   0.171129E-01   0.860399E+01
   217   0.551836E+04   0.826252E+00   0.172840E-01   0.101388E+02
   218   0.551891E+04   0.846623E+00   0.174556E-01   0.116856E+02
   219   0.551887E+04   0.868444E+00   0.176277E-01   0.132456E+02
   220   0.551822E+04   0.891862E+00   0.178003E-01   0.148142E+02
   221   0.551699E+04   0.916802E+00   0.179734E-01   0.163935E+02
   222   0.551516E+04   0.943411E+00   0.181469E-01   0.179821E+02
   223   0.551258E+04   0.971615E+00   0.183208E-01   0.195807E+02
   224   0.550956E+04   0.100141E+01   0.184951E-01   0.211856E+02
   225   0.550588E+04   0.103295E+01   0.186698E-01   0.227997E+02
   226   0.550160E+04   0.106623E+01   0.188449E-01   0.244193E+02
   227   0.549665E+04   0.110125E+01   0.190203E-01   0.260459E+02
   228   0.549119E+04   0.113800E+01   0.191960E-01   0.276778E+02
   229   0.548513E+04   0.117657E+01   0.193721E-01   0.293137E+02
   230   0.547841E+04   0.121694E+01   0.195484E-01   0.309543E+02
   231   0.547102E+04   0.125920E+01   0.197250E-01   0.325987E+02
   232   0.546311E+04   0.130327E+01   0.199019E-01   0.342455E+02
