#           k/h    P           
   0.100000E-03   0.358744E+03
   0.102020E-03   0.367186E+03
   0.104081E-03   0.375765E+03
   0.106184E-03   0.384483E+03
   0.108329E-03   0.393343E+03
   0.110517E-03   0.402349E+03
   0.112750E-03   0.411505E+03
   0.115027E-03   0.420815E+03
   0.117351E-03   0.430283E+03
   0.119722E-03   0.439910E+03
   0.122140E-03   0.449702E+03
   0.124608E-03   0.459660E+03
   0.127125E-03   0.469789E+03
   0.129693E-03   0.480092E+03
   0.132313E-03   0.490574E+03
   0.134986E-03   0.501237E+03
   0.137713E-03   0.512086E+03
   0.140495E-03   0.523125E+03
   0.143333E-03   0.534358E+03
   0.146228E-03   0.545789E+03
   0.149182E-03   0.557422E+03
   0.152196E-03   0.569261E+03
   0.155271E-03   0.581311E+03
   0.158407E-03   0.593577E+03
   0.161607E-03   0.606061E+03
   0.164872E-03   0.618771E+03
   0.168203E-03   0.631709E+03
   0.171601E-03   0.644880E+03
   0.175067E-03   0.658291E+03
   0.178604E-03   0.671944E+03
   0.182212E-03   0.685846E+03
   0.185893E-03   0.700001E+03
   0.189648E-03   0.714415E+03
   0.193479E-03   0.729093E+03
   0.197388E-03   0.744040E+03
   0.201375E-03   0.759262E+03
   0.205443E-03   0.774764E+03
   0.209594E-03   0.790553E+03
   0.213828E-03   0.806632E+03
   0.218147E-03   0.823010E+03
   0.222554E-03   0.839691E+03
   0.227050E-03   0.856681E+03
   0.231637E-03   0.873987E+03
   0.236316E-03   0.891615E+03
   0.241090E-03   0.909572E+03
   0.245960E-03   0.927864E+03
   0.250929E-03   0.946497E+03
   0.255998E-03   0.965478E+03
   0.261170E-03   0.984815E+03
   0.266446E-03   0.100451E+04
   0.271828E-03   0.102458E+04
   0.277319E-03   0.104503E+04
   0.282922E-03   0.106585E+04
   0.288637E-03   0.108707E+04
   0.294468E-03   0.110869E+04
   0.300417E-03   0.113071E+04
   0.306485E-03   0.115315E+04
   0.312677E-03   0.117601E+04
   0.318993E-03   0.119931E+04
   0.325437E-03   0.122304E+04
   0.332012E-03   0.124721E+04
   0.338719E-03   0.127185E+04
   0.345561E-03   0.129695E+04
   0.352542E-03   0.132252E+04
   0.359664E-03   0.134857E+04
   0.366930E-03   0.137512E+04
   0.374342E-03   0.140216E+04
   0.381904E-03   0.142972E+04
   0.389619E-03   0.145779E+04
   0.397490E-03   0.148640E+04
   0.405520E-03   0.151554E+04
   0.413712E-03   0.154523E+04
   0.422070E-03   0.157549E+04
   0.430596E-03   0.160631E+04
   0.439295E-03   0.163771E+04
   0.448169E-03   0.166971E+04
   0.457222E-03   0.170231E+04
   0.466459E-03   0.173552E+04
   0.475882E-03   0.176935E+04
   0.485496E-03   0.180382E+04
   0.495303E-03   0.183894E+04
   0.505309E-03   0.187472E+04
   0.515517E-03   0.191117E+04
   0.525931E-03   0.194830E+04
   0.536556E-03   0.198613E+04
   0.547395E-03   0.202467E+04
   0.558453E-03   0.206392E+04
   0.569734E-03   0.210391E+04
   0.581244E-03   0.214465E+04
   0.592986E-03   0.218615E+04
   0.604965E-03   0.222842E+04
   0.617186E-03   0.227147E+04
   0.629654E-03   0.231533E+04
   0.642374E-03   0.236000E+04
   0.655350E-03   0.240550E+04
   0.668589E-03   0.245185E+04
   0.682096E-03   0.249905E+04
   0.695875E-03   0.254712E+04
   0.709933E-03   0.259608E+04
   0.724274E-03   0.264594E+04
   0.738906E-03   0.269672E+04
   0.753832E-03   0.274843E+04
   0.769061E-03   0.280109E+04
   0.784597E-03   0.285472E+04
   0.800447E-03   0.290932E+04
   0.816617E-03   0.296492E+04
   0.833114E-03   0.302153E+04
   0.849944E-03   0.307918E+04
   0.867114E-03   0.313786E+04
   0.884631E-03   0.319761E+04
   0.902501E-03   0.325844E+04
   0.920733E-03   0.332037E+04
   0.939333E-03   0.338341E+04
   0.958309E-03   0.344758E+04
   0.977668E-03   0.351290E+04
   0.997418E-03   0.357938E+04
   0.101757E-02   0.364705E+04
   0.103812E-02   0.371593E+04
   0.105910E-02   0.378602E+04
   0.108049E-02   0.385735E+04
   0.110232E-02   0.392994E+04
   0.112459E-02   0.400380E+04
   0.114730E-02   0.407896E+04
   0.117048E-02   0.415542E+04
   0.119413E-02   0.423322E+04
   0.121825E-02   0.431237E+04
   0.124286E-02   0.439288E+04
   0.126797E-02   0.447478E+04
   0.129358E-02   0.455808E+04
   0.131971E-02   0.464281E+04
   0.134637E-02   0.472898E+04
   0.137357E-02   0.481661E+04
   0.140132E-02   0.490571E+04
   0.142963E-02   0.499632E+04
   0.145851E-02   0.508844E+04
   0.148797E-02   0.518209E+04
   0.151803E-02   0.527729E+04
   0.154870E-02   0.537407E+04
   0.157998E-02   0.547243E+04
   0.161190E-02   0.557240E+04
   0.164446E-02   0.567398E+04
   0.167768E-02   0.577721E+04
   0.171158E-02   0.588210E+04
   0.174615E-02   0.598866E+04
   0.178143E-02   0.609690E+04
   0.181741E-02   0.620686E+04
   0.185413E-02   0.631853E+04
   0.189158E-02   0.643195E+04
   0.192980E-02   0.654711E+04
   0.196878E-02   0.666404E+04
   0.200855E-02   0.678275E+04
   0.204913E-02   0.690326E+04
   0.209052E-02   0.702557E+04
   0.213276E-02   0.714970E+04
   0.217584E-02   0.727567E+04
   0.221979E-02   0.740347E+04
   0.226464E-02   0.753313E+04
   0.231039E-02   0.766466E+04
   0.235706E-02   0.779806E+04
   0.240467E-02   0.793333E+04
   0.245325E-02   0.807050E+04
   0.250281E-02   0.820957E+04
   0.255337E-02   0.835054E+04
   0.260495E-02   0.849341E+04
   0.265758E-02   0.863820E+04
   0.271126E-02   0.878490E+04
   0.276603E-02   0.893352E+04
   0.282191E-02   0.908406E+04
   0.287892E-02   0.923652E+04
   0.293708E-02   0.939089E+04
   0.299641E-02   0.954718E+04
   0.305694E-02   0.970538E+04
   0.311870E-02   0.986549E+04
   0.318170E-02   0.100275E+05
   0.324597E-02   0.101914E+05
   0.331155E-02   0.103572E+05
   0.337844E-02   0.105248E+05
   0.344669E-02   0.106944E+05
   0.351632E-02   0.108657E+05
   0.358735E-02   0.110389E+05
   0.365982E-02   0.112139E+05
   0.373376E-02   0.113907E+05
   0.380918E-02   0.115693E+05
   0.388613E-02   0.117496E+05
   0.396464E-02   0.119317E+05
   0.404473E-02   0.121154E+05
   0.412644E-02   0.123009E+05
   0.420980E-02   0.124879E+05
   0.429484E-02   0.126765E+05
   0.438160E-02   0.128667E+05
   0.447012E-02   0.130584E+05
   0.456042E-02   0.132516E+05
   0.465255E-02   0.134464E+05
   0.474653E-02   0.136426E+05
   0.484242E-02   0.138402E+05
   0.494024E-02   0.140390E+05
   0.504004E-02   0.142388E+05
   0.514186E-02   0.144398E+05
   0.524573E-02   0.146419E+05
   0.535170E-02   0.148451E+05
   0.545981E-02   0.150493E+05
   0.557011E-02   0.152544E+05
   0.568263E-02   0.154603E+05
   0.579743E-02   0.156669E+05
   0.591455E-02   0.158742E+05
   0.603403E-02   0.160820E+05
   0.615592E-02   0.162902E+05
   0.628028E-02   0.164988E+05
   0.640715E-02   0.167078E+05
   0.653658E-02   0.169170E+05
   0.666863E-02   0.171263E+05
   0.680335E-02   0.173356E+05
   0.694078E-02   0.175448E+05
   0.708100E-02   0.177537E+05
   0.722404E-02   0.179622E+05
   0.736998E-02   0.181703E+05
   0.751886E-02   0.183777E+05
   0.767075E-02   0.185844E+05
   0.782571E-02   0.187902E+05
   0.798380E-02   0.189949E+05
   0.814509E-02   0.191983E+05
   0.830963E-02   0.194004E+05
   0.847750E-02   0.196010E+05
   0.864875E-02   0.197998E+05
   0.882347E-02   0.199968E+05
   0.900171E-02   0.201918E+05
   0.918356E-02   0.203846E+05
   0.936908E-02   0.205750E+05
   0.955835E-02   0.207628E+05
   0.975144E-02   0.209478E+05
   0.994843E-02   0.211298E+05
   0.101494E-01   0.213087E+05
   0.103544E-01   0.214842E+05
   0.105636E-01   0.216560E+05
   0.107770E-01   0.218241E+05
   0.109947E-01   0.219881E+05
   0.112168E-01   0.221478E+05
   0.114434E-01   0.223031E+05
   0.116746E-01   0.224535E+05
   0.119104E-01   0.225990E+05
   0.121510E-01   0.227393E+05
   0.123965E-01   0.228741E+05
   0.126469E-01   0.230032E+05
   0.129024E-01   0.231263E+05
   0.131631E-01   0.232431E+05
   0.134290E-01   0.233534E+05
   0.137003E-01   0.234570E+05
   0.139770E-01   0.235536E+05
   0.142594E-01   0.236429E+05
   0.145474E-01   0.237246E+05
   0.148413E-01   0.237986E+05
   0.151411E-01   0.238645E+05
   0.154470E-01   0.239220E+05
   0.157590E-01   0.239710E+05
   0.160774E-01   0.240112E+05
   0.164022E-01   0.240423E+05
   0.167335E-01   0.240641E+05
   0.170716E-01   0.240764E+05
   0.174164E-01   0.240789E+05
