#    L    TT             EE             TE             PP             TP          
     2   0.101265E+04   0.345873E-01   0.283832E+01   0.108349E+07   0.271073E+05
     3   0.962901E+03   0.493154E-01   0.330437E+01   0.167288E+07   0.325169E+05
     4   0.913202E+03   0.481698E-01   0.320965E+01   0.219399E+07   0.351359E+05
     5   0.875775E+03   0.367985E-01   0.283131E+01   0.265423E+07   0.361904E+05
     6   0.848231E+03   0.234007E-01   0.235864E+01   0.306142E+07   0.363261E+05
     7   0.830167E+03   0.132519E-01   0.190474E+01   0.342308E+07   0.359998E+05
     8   0.820472E+03   0.761484E-02   0.152428E+01   0.374564E+07   0.354714E+05
     9   0.815292E+03   0.525668E-02   0.124034E+01   0.403440E+07   0.347992E+05
    10   0.814307E+03   0.440606E-02   0.105242E+01   0.429371E+07   0.339805E+05
    11   0.815544E+03   0.391652E-02   0.947050E+00   0.452720E+07   0.330689E+05
    12   0.819302E+03   0.354167E-02   0.911833E+00   0.473796E+07   0.321696E+05
    13   0.825229E+03   0.305516E-02   0.927792E+00   0.492847E+07   0.313174E+05
    14   0.833399E+03   0.286537E-02   0.973675E+00   0.510096E+07   0.305159E+05
    15   0.842449E+03   0.294156E-02   0.103420E+01   0.525721E+07   0.297311E+05
    16   0.851164E+03   0.313711E-02   0.109814E+01   0.539883E+07   0.289317E+05
    17   0.860650E+03   0.350117E-02   0.116133E+01   0.552717E+07   0.281354E+05
    18   0.871455E+03   0.394605E-02   0.122344E+01   0.564349E+07   0.273658E+05
    19   0.884327E+03   0.448947E-02   0.128577E+01   0.574884E+07   0.266212E+05
    20   0.897180E+03   0.521427E-02   0.134719E+01   0.584421E+07   0.258957E+05
    21   0.910215E+03   0.609133E-02   0.140972E+01   0.593042E+07   0.251928E+05
    22   0.923646E+03   0.714722E-02   0.147453E+01   0.600822E+07   0.245181E+05
    23   0.937315E+03   0.838407E-02   0.154113E+01   0.607830E+07   0.238756E+05
    24   0.951330E+03   0.976871E-02   0.160843E+01   0.614125E+07   0.232663E+05
    25   0.965694E+03   0.113223E-01   0.167445E+01   0.619763E+07   0.226813E+05
    26   0.980262E+03   0.130384E-01   0.173833E+01   0.624794E+07   0.221124E+05
    27   0.995209E+03   0.149099E-01   0.179731E+01   0.629261E+07   0.215624E+05
    28   0.101034E+04   0.169546E-01   0.184965E+01   0.633208E+07   0.210355E+05
    29   0.102577E+04   0.191750E-01   0.189448E+01   0.636669E+07   0.205305E+05
    30   0.104147E+04   0.215809E-01   0.193008E+01   0.639680E+07   0.200446E+05
    31   0.105725E+04   0.241856E-01   0.195690E+01   0.642273E+07   0.195740E+05
    32   0.107329E+04   0.269933E-01   0.197556E+01   0.644476E+07   0.191163E+05
    33   0.108959E+04   0.300151E-01   0.198553E+01   0.646315E+07   0.186740E+05
    34   0.110603E+04   0.332707E-01   0.198690E+01   0.647816E+07   0.182495E+05
    35   0.112270E+04   0.367587E-01   0.198047E+01   0.649000E+07   0.178404E+05
    36   0.113959E+04   0.404808E-01   0.196597E+01   0.649890E+07   0.174442E+05
    37   0.115655E+04   0.444407E-01   0.194193E+01   0.650504E+07   0.170619E+05
    38   0.117371E+04   0.486479E-01   0.190858E+01   0.650860E+07   0.166952E+05
    39   0.119110E+04   0.531071E-01   0.186532E+01   0.650976E+07   0.163431E+05
    40   0.120858E+04   0.578269E-01   0.181116E+01   0.650867E+07   0.160042E+05
    41   0.122635E+04   0.628201E-01   0.174506E+01   0.650547E+07   0.156771E+05
    42   0.124417E+04   0.680941E-01   0.166661E+01   0.650031E+07   0.153608E+05
    43   0.126217E+04   0.736550E-01   0.157558E+01   0.649329E+07   0.150545E+05
    44   0.128018E+04   0.794943E-01   0.147264E+01   0.648454E+07   0.147573E+05
    45   0.129856E+04   0.856134E-01   0.135852E+01   0.647418E+07   0.144683E+05
    46   0.131721E+04   0.920158E-01   0.123191E+01   0.646232E+07   0.141867E+05
    47   0.133598E+04   0.986982E-01   0.109317E+01   0.644905E+07   0.139122E+05
    48   0.135481E+04   0.105663E+00   0.945759E+00   0.643444E+07   0.136447E+05
    49   0.137377E+04   0.112889E+00   0.792513E+00   0.641860E+07   0.133839E+05
    50   0.139309E+04   0.120350E+00   0.629503E+00   0.640158E+07   0.131297E+05
    51   0.141255E+04   0.128016E+00   0.451593E+00   0.638348E+07   0.128821E+05
    52   0.143237E+04   0.135975E+00   0.254472E+00   0.636437E+07   0.126417E+05
    53   0.145219E+04   0.144378E+00   0.358845E-01   0.634432E+07   0.124097E+05
    54   0.147191E+04   0.153222E+00  -0.198456E+00   0.632341E+07   0.121868E+05
    55   0.149177E+04   0.162489E+00  -0.442723E+00   0.630172E+07   0.119741E+05
    56   0.151199E+04   0.172037E+00  -0.697549E+00   0.627931E+07   0.117719E+05
    57   0.153249E+04   0.181753E+00  -0.963113E+00   0.625618E+07   0.115782E+05
    58   0.155328E+04   0.191638E+00  -0.124071E+01   0.623235E+07   0.113903E+05
    59   0.157422E+04   0.201722E+00  -0.153167E+01   0.620781E+07   0.112056E+05
    60   0.159531E+04   0.212050E+00  -0.183587E+01   0.618256E+07   0.110216E+05
    61   0.161685E+04   0.222712E+00  -0.215292E+01   0.615664E+07   0.108364E+05
    62   0.163827E+04   0.233703E+00  -0.248365E+01   0.613021E+07   0.106518E+05
    63   0.165982E+04   0.244993E+00  -0.282884E+01   0.610349E+07   0.104702E+05
    64   0.168180E+04   0.256607E+00  -0.318950E+01   0.607669E+07   0.102944E+05
    65   0.170386E+04   0.268530E+00  -0.356603E+01   0.605002E+07   0.101269E+05
    66   0.172631E+04   0.280703E+00  -0.395645E+01   0.602361E+07   0.996932E+04
    67   0.174896E+04   0.293117E+00  -0.435820E+01   0.599727E+07   0.982027E+04
    68   0.177206E+04   0.305799E+00  -0.476991E+01   0.597077E+07   0.967738E+04
    69   0.179534E+04   0.318697E+00  -0.519015E+01   0.594385E+07   0.953830E+04
    70   0.181889E+04   0.331837E+00  -0.562087E+01   0.591625E+07   0.940068E+04
    71   0.184254E+04   0.345199E+00  -0.606464E+01   0.588781E+07   0.926279E+04
    72   0.186631E+04   0.358758E+00  -0.652250E+01   0.585863E+07   0.912528E+04
    73   0.189018E+04   0.372486E+00  -0.699460E+01   0.582891E+07   0.898940E+04
    74   0.191419E+04   0.386377E+00  -0.747961E+01   0.579884E+07   0.885640E+04
    75   0.193848E+04   0.400449E+00  -0.797558E+01   0.576861E+07   0.872755E+04
    76   0.196300E+04   0.414706E+00  -0.848155E+01   0.573839E+07   0.860373E+04
    77   0.198782E+04   0.429140E+00  -0.899736E+01   0.570818E+07   0.848436E+04
    78   0.201298E+04   0.443777E+00  -0.952458E+01   0.567799E+07   0.836852E+04
    79   0.203830E+04   0.458560E+00  -0.100596E+02   0.564781E+07   0.825525E+04
    80   0.206391E+04   0.473493E+00  -0.106039E+02   0.561762E+07   0.814362E+04
    81   0.208971E+04   0.488523E+00  -0.111581E+02   0.558741E+07   0.803293E+04
    82   0.211578E+04   0.503671E+00  -0.117216E+02   0.555720E+07   0.792339E+04
    83   0.214204E+04   0.518907E+00  -0.122941E+02   0.552696E+07   0.781547E+04
    84   0.216859E+04   0.534228E+00  -0.128739E+02   0.549671E+07   0.770961E+04
    85   0.219527E+04   0.549604E+00  -0.134624E+02   0.546644E+07   0.760628E+04
    86   0.222216E+04   0.565046E+00  -0.140587E+02   0.543615E+07   0.750581E+04
    87   0.224950E+04   0.580524E+00  -0.146619E+02   0.540586E+07   0.740810E+04
    88   0.227683E+04   0.596053E+00  -0.152717E+02   0.537560E+07   0.731293E+04
    89   0.230454E+04   0.611619E+00  -0.158897E+02   0.534538E+07   0.722008E+04
    90   0.233246E+04   0.627185E+00  -0.165125E+02   0.531523E+07   0.712933E+04
    91   0.236054E+04   0.642745E+00  -0.171410E+02   0.528516E+07   0.704048E+04
    92   0.238892E+04   0.658282E+00  -0.177742E+02   0.525518E+07   0.695348E+04
    93   0.241760E+04   0.673790E+00  -0.184123E+02   0.522529E+07   0.686825E+04
    94   0.244636E+04   0.689230E+00  -0.190537E+02   0.519551E+07   0.678477E+04
    95   0.247542E+04   0.704602E+00  -0.196992E+02   0.516582E+07   0.670299E+04
    96   0.250447E+04   0.719890E+00  -0.203481E+02   0.513624E+07   0.662285E+04
    97   0.253398E+04   0.735080E+00  -0.209996E+02   0.510677E+07   0.654431E+04
    98   0.256371E+04   0.750164E+00  -0.216516E+02   0.507741E+07   0.646732E+04
    99   0.259352E+04   0.765104E+00  -0.223071E+02   0.504817E+07   0.639184E+04
   100   0.262362E+04   0.779899E+00  -0.229615E+02   0.501905E+07   0.631782E+04
   101   0.265388E+04   0.794608E+00  -0.236179E+02   0.499005E+07   0.624522E+04
   102   0.268465E+04   0.809083E+00  -0.242740E+02   0.496118E+07   0.617398E+04
   103   0.271535E+04   0.823397E+00  -0.249307E+02   0.493244E+07   0.610407E+04
   104   0.274628E+04   0.837550E+00  -0.255849E+02   0.490383E+07   0.603543E+04
   105   0.277735E+04   0.851467E+00  -0.262383E+02   0.487536E+07   0.596801E+04
   106   0.280865E+04   0.865222E+00  -0.268899E+02   0.484704E+07   0.590178E+04
   107   0.283987E+04   0.878666E+00  -0.275384E+02   0.481885E+07   0.583668E+04
   108   0.287146E+04   0.891873E+00  -0.281846E+02   0.479082E+07   0.577266E+04
   109   0.290320E+04   0.904767E+00  -0.288269E+02   0.476294E+07   0.570969E+04
   110   0.293501E+04   0.917349E+00  -0.294638E+02   0.473522E+07   0.564771E+04
   111   0.296698E+04   0.929693E+00  -0.300970E+02   0.470766E+07   0.558668E+04
   112   0.299909E+04   0.941723E+00  -0.307256E+02   0.468025E+07   0.552659E+04
   113   0.303142E+04   0.953440E+00  -0.313481E+02   0.465301E+07   0.546743E+04
   114   0.306382E+04   0.964770E+00  -0.319637E+02   0.462593E+07   0.540917E+04
   115   0.309645E+04   0.975861E+00  -0.325724E+02   0.459901E+07   0.535181E+04
   116   0.312908E+04   0.986490E+00  -0.331734E+02   0.457226E+07   0.529533E+04
   117   0.316201E+04   0.996731E+00  -0.337659E+02   0.454567E+07   0.523973E+04
   118   0.319508E+04   0.100673E+01  -0.343507E+02   0.451925E+07   0.518498E+04
   119   0.322816E+04   0.101635E+01  -0.349255E+02   0.449299E+07   0.513109E+04
   120   0.326139E+04   0.102542E+01  -0.354903E+02   0.446690E+07   0.507803E+04
   121   0.329461E+04   0.103426E+01  -0.360450E+02   0.444098E+07   0.502579E+04
   122   0.332792E+04   0.104256E+01  -0.365888E+02   0.441523E+07   0.497437E+04
   123   0.336130E+04   0.105040E+01  -0.371218E+02   0.438964E+07   0.492374E+04
   124   0.339476E+04   0.105785E+01  -0.376409E+02   0.436423E+07   0.487389E+04
   125   0.342822E+04   0.106484E+01  -0.381483E+02   0.433898E+07   0.482482E+04
   126   0.346175E+04   0.107143E+01  -0.386432E+02   0.431391E+07   0.477652E+04
   127   0.349529E+04   0.107750E+01  -0.391250E+02   0.428901E+07   0.472896E+04
   128   0.352884E+04   0.108317E+01  -0.395927E+02   0.426428E+07   0.468213E+04
   129   0.356246E+04   0.108830E+01  -0.400456E+02   0.423973E+07   0.463603E+04
   130   0.359608E+04   0.109290E+01  -0.404830E+02   0.421535E+07   0.459064E+04
   131   0.362971E+04   0.109711E+01  -0.409062E+02   0.419115E+07   0.454595E+04
   132   0.366342E+04   0.110078E+01  -0.413125E+02   0.416712E+07   0.450194E+04
   133   0.369706E+04   0.110399E+01  -0.417039E+02   0.414326E+07   0.445861E+04
   134   0.373070E+04   0.110673E+01  -0.420761E+02   0.411958E+07   0.441592E+04
   135   0.376434E+04   0.110895E+01  -0.424321E+02   0.409607E+07   0.437388E+04
   136   0.379784E+04   0.111062E+01  -0.427681E+02   0.407273E+07   0.433246E+04
   137   0.383134E+04   0.111184E+01  -0.430864E+02   0.404956E+07   0.429166E+04
   138   0.386478E+04   0.111252E+01  -0.433857E+02   0.402656E+07   0.425145E+04
   139   0.389799E+04   0.111281E+01  -0.436650E+02   0.400373E+07   0.421182E+04
   140   0.393128E+04   0.111250E+01  -0.439252E+02   0.398107E+07   0.417277E+04
   141   0.396435E+04   0.111165E+01  -0.441642E+02   0.395857E+07   0.413426E+04
   142   0.399742E+04   0.111034E+01  -0.443826E+02   0.393625E+07   0.409629E+04
   143   0.403042E+04   0.110858E+01  -0.445805E+02   0.391408E+07   0.405885E+04
   144   0.406320E+04   0.110629E+01  -0.447571E+02   0.389209E+07   0.402192E+04
   145   0.409583E+04   0.110361E+01  -0.449118E+02   0.387025E+07   0.398548E+04
   146   0.412854E+04   0.110033E+01  -0.450446E+02   0.384858E+07   0.394952E+04
   147   0.416089E+04   0.109666E+01  -0.451539E+02   0.382708E+07   0.391403E+04
   148   0.419308E+04   0.109247E+01  -0.452414E+02   0.380573E+07   0.387899E+04
   149   0.422520E+04   0.108782E+01  -0.453055E+02   0.378455E+07   0.384439E+04
   150   0.425703E+04   0.108278E+01  -0.453441E+02   0.376352E+07   0.381021E+04
   151   0.428871E+04   0.107730E+01  -0.453601E+02   0.374265E+07   0.377644E+04
   152   0.432009E+04   0.107129E+01  -0.453520E+02   0.372195E+07   0.374307E+04
   153   0.435133E+04   0.106489E+01  -0.453177E+02   0.370140E+07   0.371009E+04
   154   0.438233E+04   0.105813E+01  -0.452593E+02   0.368100E+07   0.367751E+04
   155   0.441312E+04   0.105098E+01  -0.451760E+02   0.366077E+07   0.364531E+04
   156   0.444352E+04   0.104346E+01  -0.450679E+02   0.364068E+07   0.361349E+04
   157   0.447385E+04   0.103557E+01  -0.449335E+02   0.362075E+07   0.358204E+04
   158   0.450387E+04   0.102738E+01  -0.447736E+02   0.360098E+07   0.355096E+04
   159   0.453358E+04   0.101874E+01  -0.445880E+02   0.358135E+07   0.352025E+04
   160   0.456306E+04   0.100980E+01  -0.443753E+02   0.356187E+07   0.348989E+04
   161   0.459231E+04   0.100065E+01  -0.441370E+02   0.354255E+07   0.345988E+04
   162   0.462124E+04   0.991119E+00  -0.438731E+02   0.352337E+07   0.343021E+04
   163   0.465002E+04   0.981300E+00  -0.435821E+02   0.350434E+07   0.340088E+04
   164   0.467833E+04   0.971263E+00  -0.432654E+02   0.348546E+07   0.337189E+04
   165   0.470647E+04   0.960934E+00  -0.429209E+02   0.346672E+07   0.334322E+04
   166   0.473430E+04   0.950463E+00  -0.425500E+02   0.344813E+07   0.331488E+04
   167   0.476189E+04   0.939628E+00  -0.421534E+02   0.342968E+07   0.328685E+04
   168   0.478902E+04   0.928802E+00  -0.417290E+02   0.341138E+07   0.325913E+04
   169   0.481582E+04   0.917688E+00  -0.412766E+02   0.339321E+07   0.323172E+04
   170   0.484230E+04   0.906511E+00  -0.407978E+02   0.337519E+07   0.320460E+04
   171   0.486831E+04   0.895271E+00  -0.402904E+02   0.335731E+07   0.317778E+04
   172   0.489393E+04   0.883896E+00  -0.397558E+02   0.333957E+07   0.315124E+04
   173   0.491907E+04   0.872385E+00  -0.391939E+02   0.332196E+07   0.312499E+04
   174   0.494388E+04   0.861039E+00  -0.386049E+02   0.330449E+07   0.309901E+04
   175   0.496830E+04   0.849559E+00  -0.379880E+02   0.328716E+07   0.307330E+04
   176   0.499216E+04   0.838171E+00  -0.373431E+02   0.326996E+07   0.304786E+04
   177   0.501562E+04   0.826800E+00  -0.366717E+02   0.325290E+07   0.302268E+04
   178   0.503860E+04   0.815672E+00  -0.359725E+02   0.323597E+07   0.299775E+04
   179   0.506111E+04   0.804491E+00  -0.352454E+02   0.321917E+07   0.297308E+04
   180   0.508330E+04   0.793481E+00  -0.344920E+02   0.320250E+07   0.294865E+04
   181   0.510494E+04   0.782642E+00  -0.337123E+02   0.318596E+07   0.292448E+04
   182   0.512610E+04   0.772052E+00  -0.329048E+02   0.316955E+07   0.290054E+04
   183   0.514672E+04   0.761636E+00  -0.320711E+02   0.315327E+07   0.287684E+04
   184   0.516694E+04   0.751470E+00  -0.312105E+02   0.313711E+07   0.285337E+04
   185   0.518670E+04   0.741705E+00  -0.303252E+02   0.312108E+07   0.283013E+04
   186   0.520561E+04   0.732200E+00  -0.294123E+02   0.310517E+07   0.280712E+04
   187   0.522435E+04   0.723098E+00  -0.284733E+02   0.308938E+07   0.278433E+04
   188   0.524255E+04   0.714385E+00  -0.275097E+02   0.307372E+07   0.276175E+04
   189   0.526013E+04   0.706100E+00  -0.265201E+02   0.305817E+07   0.273939E+04
   190   0.527755E+04   0.698297E+00  -0.255067E+02   0.304275E+07   0.271724E+04
   191   0.529405E+04   0.690998E+00  -0.244666E+02   0.302744E+07   0.269530E+04
   192   0.531017E+04   0.684228E+00  -0.234021E+02   0.301225E+07   0.267356E+04
   193   0.532567E+04   0.678032E+00  -0.223146E+02   0.299718E+07   0.265202E+04
