#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.101265E+04   0.283832E+01   0.290802E-02   0.283832E+01   0.345873E-01  -0.131269E-04   0.290802E-02  -0.131269E-04   0.522320E-07
     3   0.962901E+03   0.330437E+01   0.292342E-02   0.330437E+01   0.493154E-01  -0.149055E-04   0.292342E-02  -0.149055E-04   0.637192E-07
     4   0.913202E+03   0.320965E+01   0.286741E-02   0.320965E+01   0.481698E-01  -0.137173E-04   0.286741E-02  -0.137173E-04   0.734484E-07
     5   0.875775E+03   0.283131E+01   0.277804E-02   0.283131E+01   0.367985E-01  -0.107192E-04   0.277804E-02  -0.107192E-04   0.818898E-07
     6   0.848231E+03   0.235864E+01   0.267309E-02   0.235864E+01   0.234007E-01  -0.693125E-05   0.267309E-02  -0.693125E-05   0.892779E-07
     7   0.830167E+03   0.190474E+01   0.256840E-02   0.190474E+01   0.132519E-01  -0.319993E-05   0.256840E-02  -0.319993E-05   0.957919E-07
     8   0.820472E+03   0.152428E+01   0.247162E-02   0.152428E+01   0.761484E-02  -0.148028E-06   0.247162E-02  -0.148028E-06   0.101568E-06
     9   0.815292E+03   0.124034E+01   0.238001E-02   0.124034E+01   0.525668E-02   0.187147E-05   0.238001E-02   0.187147E-05   0.106714E-06
    10   0.814307E+03   0.105242E+01   0.228925E-02   0.105242E+01   0.440606E-02   0.279237E-05   0.228925E-02   0.279237E-05   0.111313E-06
    11   0.815544E+03   0.947050E+00   0.220027E-02   0.947050E+00   0.391652E-02   0.277944E-05   0.220027E-02   0.277944E-05   0.115434E-06
    12   0.819302E+03   0.911833E+00   0.211816E-02   0.911833E+00   0.354167E-02   0.211503E-05   0.211816E-02   0.211503E-05   0.119136E-06
    13   0.825229E+03   0.927792E+00   0.204379E-02   0.927792E+00   0.305516E-02   0.110938E-05   0.204379E-02   0.110938E-05   0.122464E-06
    14   0.833399E+03   0.973675E+00   0.197625E-02   0.973675E+00   0.286537E-02   0.592706E-07   0.197625E-02   0.592706E-07   0.125460E-06
    15   0.842449E+03   0.103420E+01   0.191262E-02   0.103420E+01   0.294156E-02  -0.801724E-06   0.191262E-02  -0.801724E-06   0.128156E-06
    16   0.851164E+03   0.109814E+01   0.185030E-02   0.109814E+01   0.313711E-02  -0.130451E-05   0.185030E-02  -0.130451E-05   0.130583E-06
    17   0.860650E+03   0.116133E+01   0.179004E-02   0.116133E+01   0.350117E-02  -0.147479E-05   0.179004E-02  -0.147479E-05   0.132763E-06
    18   0.871455E+03   0.122344E+01   0.173302E-02   0.122344E+01   0.394605E-02  -0.138932E-05   0.173302E-02  -0.138932E-05   0.134722E-06
    19   0.884327E+03   0.128577E+01   0.167887E-02   0.128577E+01   0.448947E-02  -0.113412E-05   0.167887E-02  -0.113412E-05   0.136478E-06
    20   0.897180E+03   0.134719E+01   0.162699E-02   0.134719E+01   0.521427E-02  -0.796326E-06   0.162699E-02  -0.796326E-06   0.138049E-06
