#    L    TT             EE             BB             TE          
     2   0.495443E+00   0.947399E-05   0.164082E-04   0.489060E-03
     3   0.401987E+00   0.106640E-04   0.172631E-04  -0.834830E-04
     4   0.377494E+00   0.101653E-04   0.155348E-04  -0.257745E-03
     5   0.369077E+00   0.842296E-05   0.125745E-04  -0.296102E-03
     6   0.366651E+00   0.634290E-05   0.947826E-05  -0.281795E-03
     7   0.367052E+00   0.460252E-05   0.688350E-05  -0.251105E-03
     8   0.368557E+00   0.348913E-05   0.505900E-05  -0.222521E-03
     9   0.370283E+00   0.300945E-05   0.400597E-05  -0.203875E-03
    10   0.372258E+00   0.302928E-05   0.358868E-05  -0.195614E-03
    11   0.374758E+00   0.338135E-05   0.363596E-05  -0.196691E-03
    12   0.377175E+00   0.392399E-05   0.399229E-05  -0.206024E-03
    13   0.378926E+00   0.458029E-05   0.454855E-05  -0.221742E-03
    14   0.379727E+00   0.529816E-05   0.521811E-05  -0.242139E-03
    15   0.380206E+00   0.606353E-05   0.595998E-05  -0.266973E-03
    16   0.381012E+00   0.687230E-05   0.674860E-05  -0.296226E-03
    17   0.381955E+00   0.772213E-05   0.757436E-05  -0.329309E-03
    18   0.382689E+00   0.861105E-05   0.843232E-05  -0.365560E-03
    19   0.383086E+00   0.953664E-05   0.932007E-05  -0.404587E-03
    20   0.383102E+00   0.104965E-04   0.102358E-04  -0.446103E-03
    21   0.382792E+00   0.114890E-04   0.111778E-04  -0.489970E-03
    22   0.382230E+00   0.125126E-04   0.121442E-04  -0.536080E-03
    23   0.381446E+00   0.135665E-04   0.131331E-04  -0.584273E-03
    24   0.380457E+00   0.146499E-04   0.141429E-04  -0.634382E-03
    25   0.379277E+00   0.157615E-04   0.151722E-04  -0.686247E-03
    26   0.377915E+00   0.169002E-04   0.162199E-04  -0.739711E-03
    27   0.376380E+00   0.180648E-04   0.172849E-04  -0.794621E-03
    28   0.374678E+00   0.192541E-04   0.183660E-04  -0.850824E-03
    29   0.372816E+00   0.204671E-04   0.194621E-04  -0.908177E-03
    30   0.370801E+00   0.217033E-04   0.205715E-04  -0.966534E-03
    31   0.368638E+00   0.229619E-04   0.216928E-04  -0.102576E-02
    32   0.366333E+00   0.242425E-04   0.228244E-04  -0.108571E-02
    33   0.363891E+00   0.255438E-04   0.239654E-04  -0.114627E-02
    34   0.361318E+00   0.268646E-04   0.251146E-04  -0.120729E-02
    35   0.358617E+00   0.282041E-04   0.262707E-04  -0.126865E-02
    36   0.355794E+00   0.295612E-04   0.274319E-04  -0.133022E-02
    37   0.352854E+00   0.309350E-04   0.285968E-04  -0.139187E-02
    38   0.349801E+00   0.323242E-04   0.297638E-04  -0.145349E-02
    39   0.346639E+00   0.337277E-04   0.309313E-04  -0.151496E-02
    40   0.343373E+00   0.351437E-04   0.320979E-04  -0.157615E-02
    41   0.340008E+00   0.365709E-04   0.332623E-04  -0.163695E-02
    42   0.336546E+00   0.380078E-04   0.344228E-04  -0.169725E-02
    43   0.332993E+00   0.394530E-04   0.355780E-04  -0.175694E-02
    44   0.329353E+00   0.409052E-04   0.367263E-04  -0.181591E-02
    45   0.325630E+00   0.423627E-04   0.378663E-04  -0.187405E-02
    46   0.321827E+00   0.438244E-04   0.389964E-04  -0.193127E-02
    47   0.317950E+00   0.452886E-04   0.401153E-04  -0.198747E-02
    48   0.314001E+00   0.467540E-04   0.412216E-04  -0.204255E-02
    49   0.309985E+00   0.482192E-04   0.423138E-04  -0.209644E-02
    50   0.305906E+00   0.496826E-04   0.433908E-04  -0.214903E-02
    51   0.301768E+00   0.511429E-04   0.444511E-04  -0.220026E-02
    52   0.297574E+00   0.525989E-04   0.454936E-04  -0.225003E-02
    53   0.293328E+00   0.540493E-04   0.465173E-04  -0.229830E-02
    54   0.289036E+00   0.554929E-04   0.475210E-04  -0.234499E-02
    55   0.284700E+00   0.569287E-04   0.485038E-04  -0.239005E-02
    56   0.280325E+00   0.583552E-04   0.494645E-04  -0.243339E-02
    57   0.275914E+00   0.597713E-04   0.504021E-04  -0.247498E-02
    58   0.271469E+00   0.611753E-04   0.513156E-04  -0.251474E-02
    59   0.266992E+00   0.625659E-04   0.522038E-04  -0.255262E-02
    60   0.262487E+00   0.639417E-04   0.530659E-04  -0.258857E-02
    61   0.257957E+00   0.653015E-04   0.539009E-04  -0.262253E-02
    62   0.253408E+00   0.666449E-04   0.547089E-04  -0.265452E-02
    63   0.248847E+00   0.679721E-04   0.554900E-04  -0.268454E-02
    64   0.244282E+00   0.692829E-04   0.562445E-04  -0.271260E-02
    65   0.239719E+00   0.705774E-04   0.569725E-04  -0.273873E-02
    66   0.235165E+00   0.718551E-04   0.576739E-04  -0.276293E-02
    67   0.230617E+00   0.731140E-04   0.583474E-04  -0.278513E-02
    68   0.226072E+00   0.743513E-04   0.589913E-04  -0.280527E-02
    69   0.221527E+00   0.755647E-04   0.596038E-04  -0.282328E-02
    70   0.216980E+00   0.767514E-04   0.601835E-04  -0.283909E-02
    71   0.212427E+00   0.779094E-04   0.607288E-04  -0.285265E-02
    72   0.207876E+00   0.790385E-04   0.612401E-04  -0.286398E-02
    73   0.203332E+00   0.801389E-04   0.617181E-04  -0.287314E-02
    74   0.198803E+00   0.812108E-04   0.621632E-04  -0.288017E-02
    75   0.194296E+00   0.822544E-04   0.625762E-04  -0.288513E-02
    76   0.189817E+00   0.832698E-04   0.629576E-04  -0.288805E-02
    77   0.185368E+00   0.842561E-04   0.633071E-04  -0.288895E-02
    78   0.180950E+00   0.852123E-04   0.636246E-04  -0.288787E-02
    79   0.176565E+00   0.861375E-04   0.639098E-04  -0.288480E-02
    80   0.172214E+00   0.870305E-04   0.641624E-04  -0.287976E-02
    81   0.167898E+00   0.878904E-04   0.643823E-04  -0.287279E-02
    82   0.163620E+00   0.887169E-04   0.645696E-04  -0.286391E-02
    83   0.159381E+00   0.895094E-04   0.647245E-04  -0.285316E-02
    84   0.155184E+00   0.902676E-04   0.648475E-04  -0.284058E-02
    85   0.151030E+00   0.909910E-04   0.649386E-04  -0.282622E-02
    86   0.146923E+00   0.916793E-04   0.649981E-04  -0.281010E-02
    87   0.142864E+00   0.923319E-04   0.650263E-04  -0.279228E-02
    88   0.138854E+00   0.929481E-04   0.650233E-04  -0.277279E-02
    89   0.134897E+00   0.935273E-04   0.649894E-04  -0.275167E-02
    90   0.130993E+00   0.940689E-04   0.649245E-04  -0.272897E-02
    91   0.127146E+00   0.945724E-04   0.648292E-04  -0.270472E-02
    92   0.123355E+00   0.950378E-04   0.647038E-04  -0.267898E-02
    93   0.119622E+00   0.954651E-04   0.645491E-04  -0.265181E-02
    94   0.115946E+00   0.958543E-04   0.643657E-04  -0.262325E-02
    95   0.112330E+00   0.962056E-04   0.641542E-04  -0.259337E-02
    96   0.108772E+00   0.965189E-04   0.639154E-04  -0.256221E-02
    97   0.105275E+00   0.967944E-04   0.636499E-04  -0.252983E-02
    98   0.101837E+00   0.970321E-04   0.633583E-04  -0.249629E-02
    99   0.984616E-01   0.972320E-04   0.630413E-04  -0.246165E-02
   100   0.951474E-01   0.973942E-04   0.626995E-04  -0.242595E-02
   101   0.918957E-01   0.975188E-04   0.623336E-04  -0.238925E-02
   102   0.887071E-01   0.976058E-04   0.619442E-04  -0.235160E-02
   103   0.855821E-01   0.976554E-04   0.615321E-04  -0.231307E-02
   104   0.825215E-01   0.976674E-04   0.610978E-04  -0.227370E-02
   105   0.795258E-01   0.976421E-04   0.606420E-04  -0.223355E-02
   106   0.765957E-01   0.975794E-04   0.601653E-04  -0.219267E-02
   107   0.737318E-01   0.974794E-04   0.596685E-04  -0.215112E-02
   108   0.709348E-01   0.973422E-04   0.591521E-04  -0.210896E-02
   109   0.682053E-01   0.971678E-04   0.586169E-04  -0.206624E-02
   110   0.655438E-01   0.969563E-04   0.580634E-04  -0.202300E-02
   111   0.629510E-01   0.967079E-04   0.574924E-04  -0.197932E-02
   112   0.604263E-01   0.964231E-04   0.569046E-04  -0.193522E-02
   113   0.579691E-01   0.961025E-04   0.563009E-04  -0.189077E-02
   114   0.555788E-01   0.957469E-04   0.556820E-04  -0.184601E-02
   115   0.532549E-01   0.953569E-04   0.550487E-04  -0.180097E-02
   116   0.509967E-01   0.949331E-04   0.544020E-04  -0.175571E-02
   117   0.488036E-01   0.944762E-04   0.537425E-04  -0.171028E-02
   118   0.466750E-01   0.939869E-04   0.530711E-04  -0.166472E-02
   119   0.446104E-01   0.934658E-04   0.523885E-04  -0.161907E-02
   120   0.426090E-01   0.929136E-04   0.516957E-04  -0.157338E-02
   121   0.406702E-01   0.923310E-04   0.509934E-04  -0.152770E-02
   122   0.387936E-01   0.917186E-04   0.502824E-04  -0.148208E-02
   123   0.369784E-01   0.910770E-04   0.495635E-04  -0.143656E-02
