#    L    TT             EE             BB             TE          
     2   0.101314E+04   0.345968E-01   0.164082E-04   0.283881E+01
     3   0.963303E+03   0.493261E-01   0.172631E-04   0.330428E+01
     4   0.913580E+03   0.481800E-01   0.155348E-04   0.320939E+01
     5   0.876144E+03   0.368069E-01   0.125745E-04   0.283101E+01
     6   0.848598E+03   0.234070E-01   0.947826E-05   0.235836E+01
     7   0.830534E+03   0.132565E-01   0.688350E-05   0.190449E+01
     8   0.820840E+03   0.761833E-02   0.505900E-05   0.152406E+01
     9   0.815662E+03   0.525969E-02   0.400597E-05   0.124013E+01
    10   0.814679E+03   0.440909E-02   0.358868E-05   0.105222E+01
    11   0.815919E+03   0.391991E-02   0.363596E-05   0.946854E+00
    12   0.819679E+03   0.354559E-02   0.399229E-05   0.911627E+00
    13   0.825608E+03   0.305974E-02   0.454855E-05   0.927570E+00
    14   0.833779E+03   0.287067E-02   0.521811E-05   0.973433E+00
    15   0.842829E+03   0.294763E-02   0.595998E-05   0.103393E+01
    16   0.851545E+03   0.314399E-02   0.674860E-05   0.109784E+01
    17   0.861032E+03   0.350889E-02   0.757436E-05   0.116100E+01
    18   0.871837E+03   0.395466E-02   0.843232E-05   0.122308E+01
    19   0.884710E+03   0.449900E-02   0.932007E-05   0.128536E+01
    20   0.897563E+03   0.522477E-02   0.102358E-04   0.134674E+01
    21   0.910598E+03   0.610282E-02   0.111778E-04   0.140923E+01
    22   0.924029E+03   0.715973E-02   0.121442E-04   0.147400E+01
    23   0.937696E+03   0.839764E-02   0.131331E-04   0.154055E+01
    24   0.951710E+03   0.978336E-02   0.141429E-04   0.160779E+01
    25   0.966074E+03   0.113380E-01   0.151722E-04   0.167376E+01
    26   0.980640E+03   0.130553E-01   0.162199E-04   0.173759E+01
    27   0.995585E+03   0.149280E-01   0.172849E-04   0.179652E+01
    28   0.101071E+04   0.169739E-01   0.183660E-04   0.184880E+01
    29   0.102614E+04   0.191955E-01   0.194621E-04   0.189357E+01
    30   0.104184E+04   0.216026E-01   0.205715E-04   0.192911E+01
    31   0.105762E+04   0.242085E-01   0.216928E-04   0.195587E+01
    32   0.107365E+04   0.270175E-01   0.228244E-04   0.197448E+01
    33   0.108995E+04   0.300406E-01   0.239654E-04   0.198438E+01
    34   0.110639E+04   0.332976E-01   0.251146E-04   0.198569E+01
    35   0.112306E+04   0.367869E-01   0.262707E-04   0.197920E+01
    36   0.113995E+04   0.405104E-01   0.274319E-04   0.196464E+01
    37   0.115690E+04   0.444716E-01   0.285968E-04   0.194054E+01
    38   0.117406E+04   0.486802E-01   0.297638E-04   0.190712E+01
    39   0.119145E+04   0.531408E-01   0.309313E-04   0.186380E+01
    40   0.120893E+04   0.578621E-01   0.320979E-04   0.180959E+01
    41   0.122669E+04   0.628567E-01   0.332623E-04   0.174343E+01
    42   0.124450E+04   0.681321E-01   0.344228E-04   0.166492E+01
    43   0.126250E+04   0.736945E-01   0.355780E-04   0.157383E+01
    44   0.128051E+04   0.795352E-01   0.367263E-04   0.147083E+01
    45   0.129889E+04   0.856557E-01   0.378663E-04   0.135665E+01
    46   0.131753E+04   0.920596E-01   0.389964E-04   0.122998E+01
    47   0.133630E+04   0.987435E-01   0.401153E-04   0.109119E+01
    48   0.135512E+04   0.105710E+00   0.412216E-04   0.943717E+00
    49   0.137408E+04   0.112938E+00   0.423138E-04   0.790417E+00
    50   0.139339E+04   0.120400E+00   0.433908E-04   0.627354E+00
    51   0.141285E+04   0.128067E+00   0.444511E-04   0.449392E+00
    52   0.143267E+04   0.136027E+00   0.454936E-04   0.252222E+00
    53   0.145248E+04   0.144432E+00   0.465173E-04   0.335862E-01
    54   0.147220E+04   0.153277E+00   0.475210E-04  -0.200801E+00
    55   0.149206E+04   0.162546E+00   0.485038E-04  -0.445113E+00
    56   0.151227E+04   0.172096E+00   0.494645E-04  -0.699982E+00
    57   0.153277E+04   0.181813E+00   0.504021E-04  -0.965588E+00
    58   0.155355E+04   0.191699E+00   0.513156E-04  -0.124323E+01
    59   0.157449E+04   0.201784E+00   0.522038E-04  -0.153422E+01
    60   0.159557E+04   0.212114E+00   0.530659E-04  -0.183846E+01
    61   0.161711E+04   0.222778E+00   0.539009E-04  -0.215554E+01
    62   0.163853E+04   0.233770E+00   0.547089E-04  -0.248630E+01
    63   0.166007E+04   0.245061E+00   0.554900E-04  -0.283153E+01
    64   0.168204E+04   0.256676E+00   0.562445E-04  -0.319221E+01
    65   0.170410E+04   0.268601E+00   0.569725E-04  -0.356877E+01
    66   0.172654E+04   0.280775E+00   0.576739E-04  -0.395921E+01
    67   0.174919E+04   0.293190E+00   0.583474E-04  -0.436098E+01
    68   0.177229E+04   0.305874E+00   0.589913E-04  -0.477272E+01
    69   0.179556E+04   0.318773E+00   0.596038E-04  -0.519297E+01
    70   0.181911E+04   0.331914E+00   0.601835E-04  -0.562371E+01
    71   0.184275E+04   0.345277E+00   0.607288E-04  -0.606749E+01
    72   0.186651E+04   0.358837E+00   0.612401E-04  -0.652536E+01
    73   0.189038E+04   0.372566E+00   0.617181E-04  -0.699747E+01
    74   0.191439E+04   0.386458E+00   0.621632E-04  -0.748249E+01
    75   0.193868E+04   0.400531E+00   0.625762E-04  -0.797847E+01
    76   0.196319E+04   0.414789E+00   0.629576E-04  -0.848443E+01
    77   0.198801E+04   0.429224E+00   0.633071E-04  -0.900025E+01
    78   0.201316E+04   0.443862E+00   0.636246E-04  -0.952747E+01
    79   0.203848E+04   0.458646E+00   0.639098E-04  -0.100625E+02
    80   0.206408E+04   0.473580E+00   0.641624E-04  -0.106067E+02
    81   0.208988E+04   0.488611E+00   0.643823E-04  -0.111610E+02
    82   0.211594E+04   0.503759E+00   0.645696E-04  -0.117244E+02
    83   0.214220E+04   0.518997E+00   0.647245E-04  -0.122969E+02
    84   0.216874E+04   0.534318E+00   0.648475E-04  -0.128767E+02
    85   0.219542E+04   0.549695E+00   0.649386E-04  -0.134653E+02
    86   0.222231E+04   0.565138E+00   0.649981E-04  -0.140615E+02
    87   0.224964E+04   0.580616E+00   0.650263E-04  -0.146647E+02
    88   0.227697E+04   0.596146E+00   0.650233E-04  -0.152745E+02
    89   0.230467E+04   0.611713E+00   0.649894E-04  -0.158924E+02
    90   0.233260E+04   0.627280E+00   0.649245E-04  -0.165153E+02
    91   0.236067E+04   0.642839E+00   0.648292E-04  -0.171437E+02
    92   0.238905E+04   0.658377E+00   0.647038E-04  -0.177769E+02
    93   0.241772E+04   0.673885E+00   0.645491E-04  -0.184149E+02
    94   0.244648E+04   0.689325E+00   0.643657E-04  -0.190563E+02
    95   0.247553E+04   0.704698E+00   0.641542E-04  -0.197018E+02
    96   0.250458E+04   0.719987E+00   0.639154E-04  -0.203507E+02
    97   0.253409E+04   0.735177E+00   0.636499E-04  -0.210022E+02
    98   0.256381E+04   0.750261E+00   0.633583E-04  -0.216541E+02
    99   0.259362E+04   0.765201E+00   0.630413E-04  -0.223095E+02
   100   0.262372E+04   0.779996E+00   0.626995E-04  -0.229639E+02
   101   0.265397E+04   0.794706E+00   0.623336E-04  -0.236203E+02
   102   0.268474E+04   0.809181E+00   0.619442E-04  -0.242764E+02
   103   0.271544E+04   0.823495E+00   0.615321E-04  -0.249330E+02
   104   0.274636E+04   0.837648E+00   0.610978E-04  -0.255872E+02
   105   0.277743E+04   0.851565E+00   0.606420E-04  -0.262405E+02
   106   0.280872E+04   0.865320E+00   0.601653E-04  -0.268921E+02
