#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.358019E-04   0.118649E+08   0.118649E+08   0.157276E+08   0.157184E+08   0.118654E+08   0.118649E+08   0.118649E+08   0.118687E+08  -0.478992E+00   0.102993E+08   0.102993E+08   0.105175E+02
   0.490237E-04   0.151869E+08   0.151869E+08   0.200282E+08   0.200231E+08   0.151872E+08   0.151869E+08   0.151869E+08   0.151917E+08  -0.478985E+00   0.102991E+08   0.102991E+08   0.184032E+02
   0.620106E-04   0.166104E+08   0.166104E+08   0.217617E+08   0.217528E+08   0.166103E+08   0.166104E+08   0.166104E+08   0.166156E+08  -0.478976E+00   0.102990E+08   0.102990E+08   0.254135E+02
   0.748850E-04   0.173559E+08   0.173558E+08   0.225559E+08   0.225424E+08   0.173553E+08   0.173559E+08   0.173559E+08   0.173613E+08  -0.478965E+00   0.102988E+08   0.102988E+08   0.319951E+02
   0.876963E-04   0.177962E+08   0.177961E+08   0.229087E+08   0.228899E+08   0.177949E+08   0.177961E+08   0.177962E+08   0.178016E+08  -0.478952E+00   0.102985E+08   0.102985E+08   0.383177E+02
   0.100469E-03   0.180782E+08   0.180781E+08   0.230171E+08   0.229922E+08   0.180762E+08   0.180782E+08   0.180782E+08   0.180837E+08  -0.478936E+00   0.102983E+08   0.102983E+08   0.444580E+02
   0.113215E-03   0.182697E+08   0.182697E+08   0.229725E+08   0.229408E+08   0.182669E+08   0.182697E+08   0.182697E+08   0.182752E+08  -0.478919E+00   0.102980E+08   0.102980E+08   0.504546E+02
   0.125944E-03   0.184057E+08   0.184057E+08   0.228226E+08   0.227836E+08   0.184019E+08   0.184057E+08   0.184057E+08   0.184112E+08  -0.478900E+00   0.102976E+08   0.102976E+08   0.563272E+02
   0.138660E-03   0.185058E+08   0.185057E+08   0.225947E+08   0.225478E+08   0.185008E+08   0.185057E+08   0.185057E+08   0.185111E+08  -0.478879E+00   0.102973E+08   0.102972E+08   0.620861E+02
   0.151366E-03   0.185814E+08   0.185813E+08   0.223059E+08   0.222505E+08   0.185752E+08   0.185813E+08   0.185813E+08   0.185866E+08  -0.478856E+00   0.102969E+08   0.102968E+08   0.677361E+02
   0.164065E-03   0.186398E+08   0.186397E+08   0.219672E+08   0.219028E+08   0.186324E+08   0.186398E+08   0.186398E+08   0.186450E+08  -0.478831E+00   0.102964E+08   0.102964E+08   0.732785E+02
   0.176758E-03   0.186859E+08   0.186858E+08   0.215866E+08   0.215129E+08   0.186771E+08   0.186858E+08   0.186859E+08   0.186910E+08  -0.478804E+00   0.102959E+08   0.102959E+08   0.787131E+02
   0.189446E-03   0.187228E+08   0.187227E+08   0.211701E+08   0.210867E+08   0.187125E+08   0.187227E+08   0.187228E+08   0.187278E+08  -0.478776E+00   0.102954E+08   0.102954E+08   0.840381E+02
   0.202130E-03   0.187527E+08   0.187526E+08   0.207224E+08   0.206290E+08   0.187408E+08   0.187527E+08   0.187527E+08   0.187576E+08  -0.478745E+00   0.102949E+08   0.102948E+08   0.892512E+02
   0.214811E-03   0.187773E+08   0.187771E+08   0.202474E+08   0.201438E+08   0.187637E+08   0.187772E+08   0.187773E+08   0.187820E+08  -0.478713E+00   0.102943E+08   0.102943E+08   0.943494E+02
   0.227490E-03   0.187976E+08   0.187974E+08   0.197486E+08   0.196347E+08   0.187822E+08   0.187975E+08   0.187976E+08   0.188022E+08  -0.478679E+00   0.102937E+08   0.102936E+08   0.993297E+02
   0.240166E-03   0.188146E+08   0.188143E+08   0.192289E+08   0.191047E+08   0.187973E+08   0.188145E+08   0.188145E+08   0.188191E+08  -0.478644E+00   0.102931E+08   0.102930E+08   0.104189E+03
   0.265514E-03   0.188408E+08   0.188406E+08   0.181384E+08   0.179934E+08   0.188194E+08   0.188407E+08   0.188408E+08   0.188450E+08  -0.478567E+00   0.102917E+08   0.102916E+08   0.113532E+03
   0.278185E-03   0.188510E+08   0.188507E+08   0.175727E+08   0.174175E+08   0.188274E+08   0.188509E+08   0.188510E+08   0.188551E+08  -0.478526E+00   0.102910E+08   0.102909E+08   0.118011E+03
   0.303525E-03   0.188670E+08   0.188667E+08   0.164122E+08   0.162373E+08   0.188387E+08   0.188669E+08   0.188670E+08   0.188708E+08  -0.478440E+00   0.102894E+08   0.102893E+08   0.126566E+03
   0.316193E-03   0.188733E+08   0.188729E+08   0.158220E+08   0.156377E+08   0.188425E+08   0.188731E+08   0.188733E+08   0.188769E+08  -0.478395E+00   0.102885E+08   0.102884E+08   0.130640E+03
   0.341528E-03   0.188832E+08   0.188827E+08   0.146323E+08   0.144304E+08   0.188470E+08   0.188830E+08   0.188831E+08   0.188864E+08  -0.478299E+00   0.102868E+08   0.102866E+08   0.138366E+03
   0.366860E-03   0.188902E+08   0.188897E+08   0.134436E+08   0.132260E+08   0.188483E+08   0.188900E+08   0.188901E+08   0.188932E+08  -0.478198E+00   0.102849E+08   0.102847E+08   0.145523E+03
   0.392190E-03   0.188951E+08   0.188945E+08   0.122708E+08   0.120400E+08   0.188471E+08   0.188948E+08   0.188950E+08   0.188977E+08  -0.478091E+00   0.102829E+08   0.102827E+08   0.152103E+03
   0.417518E-03   0.188983E+08   0.188976E+08   0.111274E+08   0.108860E+08   0.188438E+08   0.188979E+08   0.188982E+08   0.189006E+08  -0.477980E+00   0.102808E+08   0.102806E+08   0.158103E+03
   0.442844E-03   0.189001E+08   0.188994E+08   0.100254E+08   0.977623E+07   0.188387E+08   0.188997E+08   0.189000E+08   0.189021E+08  -0.477863E+00   0.102786E+08   0.102784E+08   0.163523E+03
   0.468170E-03   0.189008E+08   0.189000E+08   0.897502E+07   0.872121E+07   0.188321E+08   0.189004E+08   0.189006E+08   0.189025E+08  -0.477741E+00   0.102762E+08   0.102760E+08   0.168370E+03
   0.506156E-03   0.189001E+08   0.188992E+08   0.751473E+07   0.725971E+07   0.188199E+08   0.188996E+08   0.189000E+08   0.189014E+08  -0.477551E+00   0.102726E+08   0.102723E+08   0.174586E+03
   0.544141E-03   0.188978E+08   0.188969E+08   0.621108E+07   0.596168E+07   0.188052E+08   0.188973E+08   0.188977E+08   0.188988E+08  -0.477352E+00   0.102686E+08   0.102683E+08   0.179581E+03
   0.582124E-03   0.188943E+08   0.188932E+08   0.507646E+07   0.483902E+07   0.187884E+08   0.188937E+08   0.188941E+08   0.188949E+08  -0.477144E+00   0.102645E+08   0.102642E+08   0.183420E+03
   0.620106E-03   0.188897E+08   0.188885E+08   0.411467E+07   0.389469E+07   0.187697E+08   0.188890E+08   0.188895E+08   0.188900E+08  -0.476929E+00   0.102602E+08   0.102598E+08   0.186177E+03
   0.658087E-03   0.188842E+08   0.188829E+08   0.332171E+07   0.312361E+07   0.187493E+08   0.188834E+08   0.188840E+08   0.188842E+08  -0.476706E+00   0.102556E+08   0.102553E+08   0.187940E+03
   0.708728E-03   0.188757E+08   0.188742E+08   0.250800E+07   0.234376E+07   0.187198E+08   0.188748E+08   0.188754E+08   0.188754E+08  -0.476399E+00   0.102493E+08   0.102489E+08   0.188903E+03
   0.759367E-03   0.188660E+08   0.188645E+08   0.193641E+07   0.180848E+07   0.186878E+08   0.188651E+08   0.188658E+08   0.188655E+08  -0.476080E+00   0.102427E+08   0.102423E+08   0.188489E+03
   0.810005E-03   0.188555E+08   0.188538E+08   0.155863E+07   0.146643E+07   0.186536E+08   0.188544E+08   0.188552E+08   0.188548E+08  -0.475752E+00   0.102358E+08   0.102354E+08   0.186921E+03
   0.860642E-03   0.188441E+08   0.188423E+08   0.132320E+07   0.126360E+07   0.186174E+08   0.188429E+08   0.188438E+08   0.188432E+08  -0.475413E+00   0.102287E+08   0.102282E+08   0.184413E+03
   0.923938E-03   0.188289E+08   0.188270E+08   0.115538E+07   0.112925E+07   0.185694E+08   0.188275E+08   0.188286E+08   0.188278E+08  -0.474976E+00   0.102194E+08   0.102189E+08   0.180248E+03
   0.987233E-03   0.188127E+08   0.188107E+08   0.105531E+07   0.105275E+07   0.185187E+08   0.188112E+08   0.188124E+08   0.188115E+08  -0.474525E+00   0.102097E+08   0.102092E+08   0.175245E+03
   0.105053E-02   0.187957E+08   0.187936E+08   0.968782E+06   0.979761E+06   0.184654E+08   0.187940E+08   0.187954E+08   0.187942E+08  -0.474059E+00   0.101998E+08   0.101992E+08   0.169672E+03
   0.112648E-02   0.187743E+08   0.187720E+08   0.845066E+06   0.860998E+06   0.183985E+08   0.187724E+08   0.187740E+08   0.187726E+08  -0.473483E+00   0.101874E+08   0.101868E+08   0.162527E+03
   0.120243E-02   0.187519E+08   0.187496E+08   0.694428E+06   0.706838E+06   0.183284E+08   0.187498E+08   0.187516E+08   0.187500E+08  -0.472888E+00   0.101746E+08   0.101741E+08   0.155137E+03
   0.129104E-02   0.187247E+08   0.187223E+08   0.512299E+06   0.515742E+06   0.182433E+08   0.187224E+08   0.187244E+08   0.187225E+08  -0.472171E+00   0.101592E+08   0.101587E+08   0.146459E+03
   0.137965E-02   0.186965E+08   0.186940E+08   0.363923E+06   0.358394E+06   0.181550E+08   0.186938E+08   0.186961E+08   0.186939E+08  -0.471431E+00   0.101434E+08   0.101428E+08   0.137926E+03
   0.146826E-02   0.186673E+08   0.186647E+08   0.274042E+06   0.262478E+06   0.180639E+08   0.186643E+08   0.186669E+08   0.186644E+08  -0.470671E+00   0.101271E+08   0.101265E+08   0.129696E+03
   0.156952E-02   0.186328E+08   0.186302E+08   0.236551E+06   0.222317E+06   0.179569E+08   0.186296E+08   0.186324E+08   0.186296E+08  -0.469779E+00   0.101079E+08   0.101074E+08   0.120812E+03
   0.168345E-02   0.185929E+08   0.185903E+08   0.231100E+06   0.217719E+06   0.178332E+08   0.185893E+08   0.185925E+08   0.185893E+08  -0.468748E+00   0.100858E+08   0.100852E+08   0.111632E+03
   0.179737E-02   0.185517E+08   0.185491E+08   0.212133E+06   0.201693E+06   0.177069E+08   0.185478E+08   0.185513E+08   0.185478E+08  -0.467691E+00   0.100631E+08   0.100625E+08   0.103407E+03
   0.192395E-02   0.185048E+08   0.185022E+08   0.156645E+06   0.150530E+06   0.175641E+08   0.185005E+08   0.185044E+08   0.185005E+08  -0.466488E+00   0.100373E+08   0.100367E+08   0.954041E+02
